Time;Red;Green;Blue;Scan_len;Nan_L;Nan_R;Linear_Speed;Victim;Collision
0.25244855880737305;0.5077951848427665;0.4922048151572335;0.0;0;0;0;0;False;False
0.3027639389038086;0.5077951848427665;0.4922048151572335;0.0;0;0;0;0;True;False
0.35281872749328613;0.3447015939063602;0.3341185371137743;0.32117986897986556;218;3;6;0.21;True;False
0.40275025367736816;0.3447015939063602;0.3341185371137743;0.32117986897986556;218;3;6;0.21;True;False
0.4528226852416992;0.3461060373254148;0.3314054865942717;0.3224884760803135;219;2;4;0.21;True;False
0.5027368068695068;0.3461060373254148;0.3314054865942717;0.3224884760803135;219;2;4;0.21;True;False
0.552748441696167;0.3461060373254148;0.3314054865942717;0.3224884760803135;219;2;4;0.21;True;False
0.6027603149414062;0.344606812538393;0.3321653212898314;0.3232278661717756;219;2;4;0.21;True;False
0.6527128219604492;0.344606812538393;0.3321653212898314;0.3232278661717756;220;2;5;0.21;True;False
0.7029268741607666;0.3451174075036825;0.3326574820206222;0.32222511047569535;220;2;5;0.21;False;False
0.7527151107788086;0.3451174075036825;0.3326574820206222;0.32222511047569535;218;3;2;0.21;False;False
0.8026888370513916;0.3445322907115548;0.3337889036901199;0.32167880559832535;220;1;1;0.21;False;False
0.852726936340332;0.3445322907115548;0.3337889036901199;0.32167880559832535;220;1;1;0.21;False;False
0.9026470184326172;0.35073814807516;0.3306286468284909;0.3186332050963491;220;2;1;0.21;False;False
0.9527080059051514;0.35073814807516;0.3306286468284909;0.3186332050963491;220;2;1;0.21;False;False
1.0027315616607666;0.3486143993459488;0.32862666280594777;0.3227589378481034;220;2;2;0.21;False;False
1.0527079105377197;0.3486143993459488;0.32862666280594777;0.3227589378481034;220;2;2;0.21;False;False
1.1027469635009766;0.3486143993459488;0.32862666280594777;0.3227589378481034;220;2;1;0.21;False;False
1.1527099609375;0.34747805714479735;0.33081506884199446;0.32170687401320813;220;2;1;0.21;False;False
1.2027788162231445;0.34747805714479735;0.33081506884199446;0.32170687401320813;220;2;2;0.21;False;False
1.2527222633361816;0.3466739191405818;0.3312227501041127;0.3221033307553055;220;2;2;0.21;False;False
1.3027737140655518;0.3466739191405818;0.3312227501041127;0.3221033307553055;221;1;2;0.21;False;False
1.3527204990386963;0.34837938249989325;0.33285220139215105;0.31876841610795575;221;1;2;0.21;False;False
1.4027652740478516;0.34837938249989325;0.33285220139215105;0.31876841610795575;220;1;2;0.21;False;False
1.452735424041748;0.35135624025565715;0.32715150784285013;0.32149225190149283;220;1;2;0.21;False;False
1.5027518272399902;0.35135624025565715;0.32715150784285013;0.32149225190149283;221;1;2;0.21;False;False
1.5527079105377197;0.35135624025565715;0.32715150784285013;0.32149225190149283;221;1;2;0.21;False;False
1.6027412414550781;0.34546450177317295;0.33012307906265215;0.324412419164175;220;3;2;0.21;False;False
1.652705430984497;0.34546450177317295;0.33012307906265215;0.324412419164175;220;3;2;0.21;False;False
1.7027418613433838;0.3463314743813175;0.33095155106308816;0.3227169745555943;221;1;4;0.21;False;False
1.7527196407318115;0.3463314743813175;0.33095155106308816;0.3227169745555943;221;1;4;0.21;False;False
1.8027350902557373;0.34481711549139366;0.333877012770683;0.3213058717379234;220;2;3;0.21;False;False
1.8527333736419678;0.34481711549139366;0.333877012770683;0.3213058717379234;220;2;3;0.21;False;False
1.9027457237243652;0.3500611047042016;0.3312047093653717;0.3187341859304267;221;4;4;0.21;False;False
1.9527161121368408;0.3500611047042016;0.3312047093653717;0.3187341859304267;221;4;4;0.21;False;False
2.0027427673339844;0.34924955351009757;0.3304368731968677;0.3203135732930348;220;2;2;0.21;False;False
2.052772045135498;0.34924955351009757;0.3304368731968677;0.3203135732930348;220;2;4;0.21;False;False
2.1027448177337646;0.34924955351009757;0.3304368731968677;0.3203135732930348;220;2;4;0.21;False;False
2.152515411376953;0.34915361900837794;0.33062079384699905;0.32022558714462296;221;1;4;0.21;False;False
2.2027370929718018;0.34915361900837794;0.33062079384699905;0.32022558714462296;221;1;4;0.21;False;False
2.252549409866333;0.34965604789597377;0.33036556704921693;0.3199783850548093;220;1;4;0.21;False;False
2.3027350902557373;0.34965604789597377;0.33036556704921693;0.3199783850548093;220;1;4;0.21;False;False
2.3525772094726562;0.3323143392842586;0.31398059835330566;0.3537050623624359;221;1;4;0.21;False;False
2.402740716934204;0.3323143392842586;0.31398059835330566;0.3537050623624359;221;1;4;0.21;False;False
2.452761173248291;0.26337041774883385;0.4563062888449561;0.28032329340621004;220;3;5;0.2039999862150712;False;False
2.5028481483459473;0.26337041774883385;0.4563062888449561;0.28032329340621004;220;3;5;0.2039999862150712;False;False
2.5528483390808105;0.3868636297638701;0.3798082352371785;0.2333281349989514;222;1;6;0.19418183326721186;False;False
2.6028900146484375;0.3868636297638701;0.3798082352371785;0.2333281349989514;222;1;6;0.19418183326721186;False;False
