Time;Red;Green;Blue;Scan_len;Nan_L;Nan_R;Linear_Speed;Victim;Collision
0.17566251754760742;0.3389446667169925;0.32116705669208123;0.33988827659092624;0;0;0;0;False;False
0.22569012641906738;0.3395678570081828;0.3208642859836344;0.3395678570081828;0;0;0;0;False;False
0.2756505012512207;0.3395678570081828;0.3208642859836344;0.3395678570081828;0;0;0;0;False;False
0.3257143497467041;0.3395678570081828;0.3208642859836344;0.3395678570081828;0;0;0;0;False;False
0.3756427764892578;0.3399203518109582;0.321197365192609;0.3388822829964328;0;0;0;0;False;False
0.4261138439178467;0.3399203518109582;0.321197365192609;0.3388822829964328;0;0;0;0;False;False
0.47563958168029785;0.34051161823372594;0.32001663799134067;0.33947174377493333;0;0;0;0;False;False
0.5256898403167725;0.34051161823372594;0.32001663799134067;0.33947174377493333;0;0;0;0;False;False
0.5756866931915283;0.33882402001668055;0.32083554477215864;0.3403404352111608;0;0;0;0;False;False
0.6257321834564209;0.33882402001668055;0.32083554477215864;0.3403404352111608;0;0;0;0;False;False
0.6758489608764648;0.33924199578675673;0.3212313298286235;0.33952667438461975;0;0;0;0;False;False
0.7255775928497314;0.33924199578675673;0.3212313298286235;0.33952667438461975;0;0;0;0;False;False
0.7756521701812744;0.33924199578675673;0.3212313298286235;0.33952667438461975;0;0;0;0;False;False
0.8255741596221924;0.3396545499458453;0.3204058753111521;0.3399395747430026;0;0;0;0;False;False
0.8756420612335205;0.3396545499458453;0.3204058753111521;0.3399395747430026;0;0;0;0;False;False
0.9256515502929688;0.3391522619658851;0.3206495902029019;0.34019814783121305;0;0;0;0;False;False
0.9756481647491455;0.3391522619658851;0.3206495902029019;0.34019814783121305;0;0;0;0;False;False
1.025660514831543;0.33908778067190143;0.3205886267277602;0.34032359260033845;0;0;0;0;False;False
1.0757436752319336;0.33908778067190143;0.3205886267277602;0.34032359260033845;0;0;0;0;False;False
1.1256380081176758;0.33906199501910605;0.3206402920096576;0.3402977129712363;0;0;0;0;False;False
1.1756792068481445;0.33906199501910605;0.3206402920096576;0.3402977129712363;0;0;0;0;False;False
1.2256696224212646;0.3395328514300369;0.3204118658396421;0.34005528273032093;0;0;0;0;False;False
1.2756736278533936;0.3395328514300369;0.3204118658396421;0.34005528273032093;0;0;0;0;False;False
1.325667381286621;0.3395328514300369;0.3204118658396421;0.34005528273032093;0;0;0;0;False;False
